_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment,State
22,Gulau,GULA,Domes Number belum diperolehi,GULA,6.024571933,100.937648,76.8356,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Gulau, Sik, Kedah.",Kedah
23,Changkat Jering,JERI,Domes Number belum diperolehi,JERI,4.758602944,100.7799796,14.1282,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Dato' Wan Ahmad Rasdi, Changkat Jering, Perak.",Perak
24,Johor Jaya,JHJY,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,1.536810606,103.9153095,39.1634,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Johor Jaya 1, Jalan Bakawali 39, Johor.",Johor
25,Jerantut,JRNT,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.924280461,102.3941219,79.5124,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Tengku Ampuan Hajah Afzan Pahang, Jerantut, Pahang.",Pahang
26,JUPEM Melaka,JUML,Domes Number belum diperolehi,JUML,2.211754672,102.3109756,19.7819,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Jabatan Ukur dan Pemetaan Malaysia, Melaka.",Melaka
27,Keningau,KGAU,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.367552416,116.3092817,351.5787,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Keningau II, Keningau, Sabah.",Sabah
28,Kuala Klawang,KLAW,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 6.0 meter concrete monument.,2.981509666,102.1866639,168.4775,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Maktab Rendah Sains Mara, Kuala Klawang, Negeri Sembilan.",Negeri Sembilan
29,Kuala Lipis,KLIP,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.176006055,102.1053676,97.3887,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Kuala Lanar, Kuala Lipis, Pahang.",Pahang
30,Kota,KOTA,Domes Number belum diperolehi,KOTA,2.507762422,102.134745,33.6831,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Astana Raja, Rembau, Negeri Sembilan.",Negeri Sembilan
31,Kapit,KPIT,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.007408684,113.0299062,79.7193,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Kapit No. 2, Kapit, Sarawak.",Sarawak
32,Kuala Krai,KRAI,22762M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.501993711,102.2468314,31.7061,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"MRSM Kuala Krai, Kelantan.",Kelantan
